                   x         u_numerical        u_analytical
         -0.98750000          0.12623508          0.00000000
         -0.96250000          0.10425666          0.00000000
         -0.93750000          0.06082582          0.00000000
         -0.91250000          0.00136850          0.00000000
         -0.88750000         -0.06580332          0.00000000
         -0.86250000         -0.13103482          0.00000000
         -0.83750000         -0.18509040          0.00000000
         -0.81250000         -0.22069967          0.00000000
         -0.78750000         -0.23351240          0.00000000
         -0.76250000         -0.22227039          0.00000000
         -0.73750000         -0.18825135          0.00000000
         -0.71250000         -0.13426620          0.00000000
         -0.68750000         -0.06361330          0.00000000
         -0.66250000          0.02063432          0.00000000
         -0.63750000          0.11579951          0.00000000
         -0.61250000          0.21926218          0.00000000
         -0.58750000          0.32786668          0.00000000
         -0.56250000          0.43744618          0.00000000
         -0.53750000          0.54279607          0.00000000
         -0.51250000          0.63824733          0.00000000
         -0.48750000          0.71873712          1.00000000
         -0.46250000          0.78104672          1.00000000
         -0.43750000          0.82476615          1.00000000
         -0.41250000          0.85259952          1.00000000
         -0.38750000          0.86982747          1.00000000
         -0.36250000          0.88302117          1.00000000
         -0.33750000          0.89835506          1.00000000
         -0.31250000          0.92000138          1.00000000
         -0.28750000          0.94906509          1.00000000
         -0.26250000          0.98334828          1.00000000
         -0.23750000          1.01798514          1.00000000
         -0.21250000          1.04674928          1.00000000
         -0.18750000          1.06367715          1.00000000
         -0.16250000          1.06460855          1.00000000
         -0.13750000          1.04830662          1.00000000
         -0.11250000          1.01694454          1.00000000
         -0.08750000          0.97588880          1.00000000
         -0.06250000          0.93283611          1.00000000
         -0.03750000          0.89646238          1.00000000
         -0.01250000          0.87481896          1.00000000
          0.01250000          0.87376492          1.00000000
          0.03750000          0.89574334          1.00000000
          0.06250000          0.93917418          1.00000000
          0.08750000          0.99863150          1.00000000
          0.11250000          1.06580332          1.00000000
          0.13750000          1.13103482          1.00000000
          0.16250000          1.18509040          1.00000000
          0.18750000          1.22069967          1.00000000
          0.21250000          1.23351240          1.00000000
          0.23750000          1.22227039          1.00000000
          0.26250000          1.18825135          1.00000000
          0.28750000          1.13426620          1.00000000
          0.31250000          1.06361330          1.00000000
          0.33750000          0.97936568          1.00000000
          0.36250000          0.88420049          1.00000000
          0.38750000          0.78073782          1.00000000
          0.41250000          0.67213332          1.00000000
          0.43750000          0.56255382          1.00000000
          0.46250000          0.45720393          1.00000000
          0.48750000          0.36175267          1.00000000
          0.51250000          0.28126288          0.00000000
          0.53750000          0.21895328          0.00000000
          0.56250000          0.17523385          0.00000000
          0.58750000          0.14740048          0.00000000
          0.61250000          0.13017253          0.00000000
          0.63750000          0.11697883          0.00000000
          0.66250000          0.10164494          0.00000000
          0.68750000          0.07999862          0.00000000
          0.71250000          0.05093491          0.00000000
          0.73750000          0.01665172          0.00000000
          0.76250000         -0.01798514          0.00000000
          0.78750000         -0.04674928          0.00000000
          0.81250000         -0.06367715          0.00000000
          0.83750000         -0.06460855          0.00000000
          0.86250000         -0.04830662          0.00000000
          0.88750000         -0.01694454          0.00000000
          0.91250000          0.02411120          0.00000000
          0.93750000          0.06716389          0.00000000
          0.96250000          0.10353762          0.00000000
          0.98750000          0.12518104          0.00000000
