                Time     Total_Variation            L2_Error            L1_Error
          0.00000000          2.00000000          0.00000000          0.00000000
          0.00312500          2.50000000          0.03125000          0.00312500
          0.00625000          2.75000000          0.02933591          0.00390625
          0.00937500          2.78125000          0.04324640          0.00499268
          0.01250000          2.65625000          0.03508280          0.00522766
          0.01562500          2.88378906          0.04519535          0.00628777
          0.01875000          2.85748291          0.03875720          0.00565600
          0.02187500          2.74936676          0.04696021          0.00714828
          0.02500000          2.94928598          0.04148332          0.00641504
          0.02812500          2.85955763          0.03860251          0.00670005
          0.03125000          2.88011977          0.04366550          0.00728527
          0.03437500          2.97038200          0.04020926          0.00732653
          0.03750000          2.89653828          0.04549464          0.00777201
          0.04062500          2.94869515          0.05110953          0.00865442
          0.04375000          2.94126323          0.04707540          0.00846173
          0.04687500          3.00926158          0.05222583          0.00886695
          0.05000000          2.96544527          0.04847140          0.00905185
          0.05312500          3.03278787          0.05324898          0.00909994
          0.05625000          3.01990552          0.04972421          0.00942809
          0.05937500          2.98803460          0.04521169          0.00881846
          0.06250000          3.08594883          0.05086260          0.00983108
          0.06562500          2.98219862          0.05507412          0.01019207
          0.06875000          3.09283354          0.05190727          0.01012936
          0.07187500          3.04349094          0.05589736          0.01065295
          0.07500000          3.10396492          0.05287369          0.01040228
          0.07812500          3.09193147          0.05667160          0.01108275
          0.08125000          3.09801085          0.05377370          0.01074853
          0.08437500          3.12725613          0.05740288          0.01139300
          0.08750000          3.07053753          0.05461659          0.01107721
          0.09062500          3.16551952          0.05809616          0.01165644
          0.09375000          3.07912631          0.05540978          0.01135851
          0.09687500          3.17043038          0.05875558          0.01194508
          0.10000000          3.12171126          0.05615931          0.01158576
          0.10312500          3.16154368          0.05938461          0.01229245
          0.10625000          3.16637832          0.05687015          0.01185997
          0.10937500          3.16683115          0.06718401          0.01355345
          0.11250000          3.19343921          0.05754644          0.01212815
          0.11562500          3.17791345          0.06056289          0.01293673
          0.11875000          3.21053044          0.05819169          0.01235223
          0.12187500          3.19537869          0.06111686          0.01320163
          0.12500000          3.20890537          0.05880887          0.01273195
          0.12812500          3.19855291          0.06165001          0.01341267
          0.13125000          3.20758363          0.05940055          0.01309101
          0.13437500          3.19992848          0.06216401          0.01358071
          0.13750000          3.24335795          0.05996894          0.01342956
          0.14062500          3.21930422          0.06266033          0.01373578
          0.14375000          3.26418834          0.06051597          0.01371859
          0.14687500          3.22543958          0.05532989          0.01297719
