                   x         u_numerical        u_analytical
         -0.95000000          0.00053628          0.00000000
         -0.85000000          0.00143204          0.00000000
         -0.75000000          0.00898767          0.00000000
         -0.65000000          0.05957144          0.00000000
         -0.55000000          0.31274063          0.00000000
         -0.45000000          0.68725937          1.00000000
         -0.35000000          0.94042856          1.00000000
         -0.25000000          0.99101233          1.00000000
         -0.15000000          0.99856796          1.00000000
         -0.05000000          0.99946372          1.00000000
          0.05000000          0.99946372          1.00000000
          0.15000000          0.99856796          1.00000000
          0.25000000          0.99101233          1.00000000
          0.35000000          0.94042856          1.00000000
          0.45000000          0.68725937          1.00000000
          0.55000000          0.31274063          0.00000000
          0.65000000          0.05957144          0.00000000
          0.75000000          0.00898767          0.00000000
          0.85000000          0.00143204          0.00000000
          0.95000000          0.00053628          0.00000000
