                   x         u_numerical        u_analytical
         -0.99375000          0.06238209          0.00000000
         -0.98125000          0.06224861          0.00000000
         -0.96875000          0.06207493          0.00000000
         -0.95625000          0.06190395          0.00000000
         -0.94375000          0.06173629          0.00000000
         -0.93125000          0.06157206          0.00000000
         -0.91875000          0.06141123          0.00000000
         -0.90625000          0.06125360          0.00000000
         -0.89375000          0.06109886          0.00000000
         -0.88125000          0.06094659          0.00000000
         -0.86875000          0.06079629          0.00000000
         -0.85625000          0.06064739          0.00000000
         -0.84375000          0.06049938          0.00000000
         -0.83125000          0.06035183          0.00000000
         -0.81875000          0.06020454          0.00000000
         -0.80625000          0.06005760          0.00000000
         -0.79375000          0.05991150          0.00000000
         -0.78125000          0.05976726          0.00000000
         -0.76875000          0.05962647          0.00000000
         -0.75625000          0.05949178          0.00000000
         -0.74375000          0.05936776          0.00000000
         -0.73125000          0.05925799          0.00000000
         -0.71875000          0.05913305          0.00000000
         -0.70625000          0.05897516          0.00000000
         -0.69375000          0.05878320          0.00000000
         -0.68125000          0.05856649          0.00000000
         -0.66875000          0.05833957          0.00000000
         -0.65625000          0.05811317          0.00000000
         -0.64375000          0.05790462          0.00000000
         -0.63125000          0.05771309          0.00000000
         -0.61875000          0.05745432          0.00000000
         -0.60625000          0.05710361          0.00000000
         -0.59375000          0.05669192          0.00000000
         -0.58125000          0.05636306          0.00000000
         -0.56875000          0.05631440          0.00000000
         -0.55625000          0.05634954          0.00000000
         -0.54375000          0.05679913          0.00000000
         -0.53125000          0.05992110          0.00000000
         -0.51875000          0.07898276          0.00000000
         -0.50625000          0.19134562          0.00000000
         -0.49375000          0.43308520          1.00000000
         -0.48125000          0.68025248          1.00000000
         -0.46875000          0.92092434          1.00000000
         -0.45625000          1.03172753          1.00000000
         -0.44375000          1.05073928          1.00000000
         -0.43125000          1.05399216          1.00000000
         -0.41875000          1.05454128          1.00000000
         -0.40625000          1.05462868          1.00000000
         -0.39375000          1.05463939          1.00000000
         -0.38125000          1.05463904          1.00000000
         -0.36875000          1.05462508          1.00000000
         -0.35625000          1.05452802          1.00000000
         -0.34375000          1.05433975          1.00000000
         -0.33125000          1.05415457          1.00000000
         -0.31875000          1.05397463          1.00000000
         -0.30625000          1.05379993          1.00000000
         -0.29375000          1.05362909          1.00000000
         -0.28125000          1.05346060          1.00000000
         -0.26875000          1.05329402          1.00000000
         -0.25625000          1.05313042          1.00000000
         -0.24375000          1.05297158          1.00000000
         -0.23125000          1.05281870          1.00000000
         -0.21875000          1.05267115          1.00000000
         -0.20625000          1.05252319          1.00000000
         -0.19375000          1.05237214          1.00000000
         -0.18125000          1.05221927          1.00000000
         -0.16875000          1.05206528          1.00000000
         -0.15625000          1.05191058          1.00000000
         -0.14375000          1.05175541          1.00000000
         -0.13125000          1.05159992          1.00000000
         -0.11875000          1.05144419          1.00000000
         -0.10625000          1.05128831          1.00000000
         -0.09375000          1.05113231          1.00000000
         -0.08125000          1.05097623          1.00000000
         -0.06875000          1.05082009          1.00000000
         -0.05625000          1.05066392          1.00000000
         -0.04375000          1.05050772          1.00000000
         -0.03125000          1.05035150          1.00000000
         -0.01875000          1.05019527          1.00000000
         -0.00625000          1.05003904          1.00000000
          0.00625000          1.04988280          1.00000000
          0.01875000          1.04972656          1.00000000
          0.03125000          1.04957032          1.00000000
          0.04375000          1.04941408          1.00000000
          0.05625000          1.04925784          1.00000000
          0.06875000          1.04910160          1.00000000
          0.08125000          1.04894537          1.00000000
          0.09375000          1.04878914          1.00000000
          0.10625000          1.04863293          1.00000000
          0.11875000          1.04847674          1.00000000
          0.13125000          1.04832058          1.00000000
          0.14375000          1.04816446          1.00000000
          0.15625000          1.04800840          1.00000000
          0.16875000          1.04785244          1.00000000
          0.18125000          1.04769660          1.00000000
          0.19375000          1.04754095          1.00000000
          0.20625000          1.04738556          1.00000000
          0.21875000          1.04723053          1.00000000
          0.23125000          1.04707602          1.00000000
          0.24375000          1.04692221          1.00000000
          0.25625000          1.04676938          1.00000000
          0.26875000          1.04661788          1.00000000
          0.28125000          1.04646819          1.00000000
          0.29375000          1.04632092          1.00000000
          0.30625000          1.04617691          1.00000000
          0.31875000          1.04603720          1.00000000
          0.33125000          1.04590316          1.00000000
          0.34375000          1.04577648          1.00000000
          0.35625000          1.04565924          1.00000000
          0.36875000          1.04555396          1.00000000
          0.38125000          1.04546361          1.00000000
          0.39375000          1.04539158          1.00000000
          0.40625000          1.04534164          1.00000000
          0.41875000          1.04531528          1.00000000
          0.43125000          1.04528106          1.00000000
          0.44375000          1.04516350          1.00000000
          0.45625000          1.04457156          1.00000000
          0.46875000          1.04122491          1.00000000
          0.48125000          1.02183059          1.00000000
          0.49375000          0.90890038          1.00000000
          0.50625000          0.64782193          0.00000000
          0.51875000          0.37499337          0.00000000
          0.53125000          0.13278064          0.00000000
          0.54375000          0.05756958          0.00000000
          0.55625000          0.04464114          0.00000000
          0.56875000          0.04239907          0.00000000
          0.58125000          0.04199294          0.00000000
          0.59375000          0.04190457          0.00000000
          0.60625000          0.04187372          0.00000000
          0.61875000          0.04184147          0.00000000
          0.63125000          0.04178159          0.00000000
          0.64375000          0.04169932          0.00000000
          0.65625000          0.04159926          0.00000000
          0.66875000          0.04148525          0.00000000
          0.68125000          0.04136048          0.00000000
          0.69375000          0.04122748          0.00000000
          0.70625000          0.04108827          0.00000000
          0.71875000          0.04094442          0.00000000
          0.73125000          0.04079713          0.00000000
          0.74375000          0.04064733          0.00000000
          0.75625000          0.04049572          0.00000000
          0.76875000          0.04034284          0.00000000
          0.78125000          0.04018908          0.00000000
          0.79375000          0.04003476          0.00000000
          0.80625000          0.03988010          0.00000000
          0.81875000          0.03972525          0.00000000
          0.83125000          0.03957033          0.00000000
          0.84375000          0.03941539          0.00000000
          0.85625000          0.03926047          0.00000000
          0.86875000          0.03910561          0.00000000
          0.88125000          0.03895091          0.00000000
          0.89375000          0.03879651          0.00000000
          0.90625000          0.03864256          0.00000000
          0.91875000          0.03848926          0.00000000
          0.93125000          0.03833682          0.00000000
          0.94375000          0.03818550          0.00000000
          0.95625000          0.03803556          0.00000000
          0.96875000          0.03788728          0.00000000
          0.98125000          0.03775165          0.00000000
          0.99375000          0.03756120          0.00000000
