                Time     Total_Variation            L2_Error
          0.00000000          2.00000000          0.00000000
          0.00625000          2.00000000          0.05590170
          0.01250000          2.00001953          0.02964635
          0.01875000          2.00004883          0.05664106
          0.02500000          2.00008301          0.03745141
          0.03125000          2.00011963          0.05773209
          0.03750000          2.00015747          0.04176651
          0.04375000          2.00019592          0.05876762
          0.05000000          2.00023468          0.04472366
          0.05625000          2.00027359          0.05970518
          0.06250000          2.00031258          0.04696984
          0.06875000          2.00035160          0.06055150
          0.07500000          2.00039064          0.04878125
          0.08125000          2.00042970          0.06131995
          0.08750000          2.00046875          0.05030004
          0.09375000          2.00050781          0.06202294
          0.10000000          2.00054688          0.05160867
          0.10625000          2.00058594          0.06267068
          0.11250000          2.00062500          0.05275908
          0.11875000          2.00066406          0.06327139
          0.12500000          2.00070313          0.05378610
          0.13125000          2.00074219          0.06383168
          0.13750000          2.00078125          0.05471419
          0.14375000          2.00082031          0.06435689
          0.15000000          2.00085938          0.05556116
          0.15625000          2.00089844          0.06485138
          0.16250000          2.00093750          0.05634042
          0.16875000          2.00097656          0.06531876
          0.17500000          2.00101563          0.05706227
          0.18125000          2.00105469          0.06576202
          0.18750000          2.00109375          0.05773485
          0.19375000          2.00113281          0.06618368
          0.20000000          2.00117188          0.05836465
          0.20625000          2.00121094          0.06658590
          0.21250000          2.00125000          0.05895695
          0.21875000          2.00128906          0.06697052
          0.22500000          2.00132813          0.05951612
          0.23125000          2.00136719          0.06733910
          0.23750000          2.00140625          0.06004579
          0.24375000          2.00144531          0.06769304
          0.25000000          2.00148438          0.06054903
          0.25625000          2.00152344          0.06803354
          0.26250000          2.00156250          0.06102844
          0.26875000          2.00160156          0.06836165
          0.27500000          2.00164062          0.06148626
          0.28125000          2.00167969          0.06867832
          0.28750000          2.00171875          0.06192443
          0.29375000          2.00175781          0.06898436
          0.30000000          2.00179687          0.06234463
          0.30625000          2.00183594          0.06928054
          0.31250000          2.00187500          0.06274833
          0.31875000          2.00191406          0.06956750
          0.32500000          2.00195312          0.06313682
          0.33125000          2.00199219          0.06984585
          0.33750000          2.00203125          0.06351127
          0.34375000          2.00207031          0.07011614
          0.35000000          2.00210937          0.06387269
          0.35625000          2.00214842          0.07037885
          0.36250000          2.00218743          0.06422200
          0.36875000          2.00222635          0.07063443
          0.37500000          2.00226496          0.06456002
          0.38125000          2.00230272          0.07088328
          0.38750000          2.00233812          0.06488748
          0.39375000          2.00236739          0.07112579
          0.40000000          2.00238125          0.06520505
          0.40625000          2.00235805          0.07136228
          0.41250000          2.00224932          0.06551335
          0.41875000          2.00195123          0.07159309
          0.42500000          2.00125152          0.06581294
          0.43125000          2.00000000          0.07181854
          0.43750000          2.00000000          0.06610437
          0.44375000          2.00000000          0.07203906
          0.45000000          2.00000000          0.06638906
          0.45625000          2.00000000          0.07225803
          0.46250000          2.00000000          0.06667793
          0.46875000          2.00000000          0.07250470
          0.47500000          2.00000000          0.06705913
          0.48125000          2.00000000          0.07296112
          0.48750000          2.00000000          0.06786074
          0.49375000          2.00000000          0.07411058
          0.50000000          2.00000000          0.07030546
          0.50625000          2.00000000          0.07680480
          0.51250000          2.00000000          0.06935213
          0.51875000          2.00000000          0.07646130
          0.52500000          2.00000000          0.06904145
          0.53125000          2.00000000          0.07640361
          0.53750000          2.00000000          0.06914051
          0.54375000          2.00000000          0.07651624
          0.55000000          2.00000000          0.06933565
          0.55625000          2.00000000          0.07666296
          0.56250000          2.00000000          0.06954386
          0.56875000          2.00000000          0.07681345
          0.57500000          2.00024634          0.06975111
          0.58125000          2.00149755          0.07696293
          0.58750000          2.00228103          0.06995537
          0.59375000          2.00279873          0.07711065
          0.60000000          2.00314923          0.07015631
          0.60625000          2.00338914          0.07725644
          0.61250000          2.00355539          0.07035391
          0.61875000          2.00367334          0.07740032
          0.62500000          2.00376037          0.07054829
          0.63125000          2.00382805          0.07754207
          0.63750000          2.00388392          0.07073937
          0.64375000          2.00393271          0.07768178
          0.65000000          2.00397733          0.07092721
          0.65625000          2.00401953          0.07781961
          0.66250000          2.00406035          0.07111194
          0.66875000          2.00410039          0.07795568
          0.67500000          2.00413999          0.07129372
          0.68125000          2.00417934          0.07809008
          0.68750000          2.00421856          0.07147265
          0.69375000          2.00425771          0.07822286
          0.70000000          2.00429682          0.07164887
          0.70625000          2.00433591          0.07835408
          0.71250000          2.00437499          0.07182247
          0.71875000          2.00441405          0.07848378
          0.72500000          2.00445312          0.07199354
          0.73125000          2.00449219          0.07861198
          0.73750000          2.00453125          0.07216216
          0.74375000          2.00457031          0.07873871
          0.75000000          2.00460937          0.07232840
          0.75625000          2.00464844          0.07886400
          0.76250000          2.00468750          0.07249234
          0.76875000          2.00472656          0.07898788
          0.77500000          2.00476562          0.07265402
          0.78125000          2.00480469          0.07911036
          0.78750000          2.00484375          0.07281352
          0.79375000          2.00488281          0.07923149
          0.80000000          2.00492187          0.07297089
          0.80625000          2.00496094          0.07935128
          0.81250000          2.00500000          0.07312618
          0.81875000          2.00503906          0.07946975
          0.82500000          2.00507812          0.07327944
          0.83125000          2.00511719          0.07958694
          0.83750000          2.00515625          0.07343074
          0.84375000          2.00519531          0.07970287
          0.85000000          2.00523437          0.07358011
          0.85625000          2.00527344          0.07981756
          0.86250000          2.00531250          0.07372760
          0.86875000          2.00535156          0.07993104
          0.87500000          2.00539062          0.07387326
          0.88125000          2.00542969          0.08004333
          0.88750000          2.00546875          0.07401714
          0.89375000          2.00550781          0.08015446
          0.90000000          2.00554687          0.07415928
          0.90625000          2.00558594          0.08026446
          0.91250000          2.00562500          0.07429971
          0.91875000          2.00566406          0.08037333
          0.92500000          2.00570312          0.07443848
          0.93125000          2.00574219          0.08048111
          0.93750000          2.00578125          0.07457563
          0.94375000          2.00582031          0.08058783
          0.95000000          2.00585937          0.07471119
          0.95625000          2.00589844          0.08069349
          0.96250000          2.00593750          0.07484521
          0.96875000          2.00597656          0.08079813
          0.97500000          2.00601562          0.07497772
          0.98125000          2.00605469          0.08090176
          0.98750000          2.00609375          0.07510874
          0.99375000          2.00613281          0.08100440
          1.00000000          2.00617187          0.07523833
          1.00625000          2.00621094          0.08110607
          1.01250000          2.00625000          0.07536650
