                   x         u_numerical        u_analytical
         -0.99375000          0.00035204          0.00000000
         -0.98125000          0.00121835          0.00000000
         -0.96875000          0.00493596          0.00000000
         -0.95625000          0.00987284          0.00000000
         -0.94375000          0.01305282          0.00000000
         -0.93125000          0.01176090          0.00000000
         -0.91875000          0.00536336          0.00000000
         -0.90625000         -0.00376675          0.00000000
         -0.89375000         -0.01095765          0.00000000
         -0.88125000         -0.01144880          0.00000000
         -0.86875000         -0.00307534          0.00000000
         -0.85625000          0.01200062          0.00000000
         -0.84375000          0.02758091          0.00000000
         -0.83125000          0.03584928          0.00000000
         -0.81875000          0.03093934          0.00000000
         -0.80625000          0.01203261          0.00000000
         -0.79375000         -0.01550701          0.00000000
         -0.78125000         -0.04161945          0.00000000
         -0.76875000         -0.05516727          0.00000000
         -0.75625000         -0.04827530          0.00000000
         -0.74375000         -0.01967598          0.00000000
         -0.73125000          0.02424095          0.00000000
         -0.71875000          0.07106551          0.00000000
         -0.70625000          0.10607959          0.00000000
         -0.69375000          0.11673461          0.00000000
         -0.68125000          0.09642058          0.00000000
         -0.66875000          0.04641177          0.00000000
         -0.65625000         -0.02443917          0.00000000
         -0.64375000         -0.10195930          0.00000000
         -0.63125000         -0.17004166          0.00000000
         -0.61875000         -0.21414644          0.00000000
         -0.60625000         -0.22404086          0.00000000
         -0.59375000         -0.19525685          0.00000000
         -0.58125000         -0.12916658          0.00000000
         -0.56875000         -0.03192811          0.00000000
         -0.55625000          0.08724221          0.00000000
         -0.54375000          0.21797329          0.00000000
         -0.53125000          0.35041012          0.00000000
         -0.51875000          0.47640108          0.00000000
         -0.50625000          0.59011989          0.00000000
         -0.49375000          0.68817496          1.00000000
         -0.48125000          0.76934103          1.00000000
         -0.46875000          0.83407431          1.00000000
         -0.45625000          0.88395748          1.00000000
         -0.44375000          0.92118212          1.00000000
         -0.43125000          0.94813135          1.00000000
         -0.41875000          0.96708648          1.00000000
         -0.40625000          0.98005352          1.00000000
         -0.39375000          0.98868815          1.00000000
         -0.38125000          0.99428965          1.00000000
         -0.36875000          0.99783420          1.00000000
         -0.35625000          1.00002440          1.00000000
         -0.34375000          1.00134313          1.00000000
