                Time     Total_Variation            L2_Error
          0.00000000          2.00000000          0.00000000
          0.00625000          2.50000000          0.05929271
          0.01250000          2.75001953          0.04148724
          0.01875000          2.78130371          0.04587765
          0.02500000          2.65634705          0.04961458
          0.03125000          2.88393372          0.06391588
          0.03750000          2.85767589          0.05481095
          0.04375000          2.74960675          0.05201519
          0.05000000          2.94957100          0.05866628
          0.05625000          2.85988595          0.06860148
          0.06250000          2.88049038          0.06175235
          0.06875000          2.97079470          0.07054042
          0.07500000          2.89699345          0.06433914
          0.08125000          2.94919347          0.05889330
          0.08750000          2.94180540          0.06657468
          0.09375000          3.00984810          0.07385848
          0.10000000          2.96607637          0.06854891
          0.10625000          3.03346353          0.06239916
          0.11250000          3.02062556          0.07032067
          0.11875000          2.98879877          0.07664252
          0.12500000          3.08675690          0.07193059
          0.13125000          2.98305044          0.06536659
          0.13750000          3.09372907          0.07340799
          0.14375000          3.04443020          0.07905082
          0.15000000          3.10494800          0.07477472
          0.15625000          3.09295846          0.09071892
          0.16250000          3.09908182          0.07604753
          0.16875000          3.12837113          0.08117996
          0.17500000          3.07169656          0.07723956
          0.18125000          3.16672256          0.08216041
          0.18750000          3.08037334          0.07836131
          0.19375000          3.17172136          0.08309298
          0.20000000          3.12304617          0.07942131
          0.20625000          3.16292249          0.09423192
          0.21250000          3.16780104          0.08042659
          0.21875000          3.16829778          0.09501259
          0.22500000          3.19494977          0.08138302
          0.23125000          3.17946795          0.08564893
          0.23750000          3.21212888          0.08229555
          0.24375000          3.19702102          0.08643237
          0.25000000          3.21059158          0.08316839
          0.25625000          3.20028302          0.08718637
          0.26250000          3.20935765          0.08400516
          0.26875000          3.20174625          0.08791329
          0.27500000          3.24521909          0.08480900
          0.28125000          3.22120821          0.08861521
          0.28750000          3.26613608          0.08558264
          0.29375000          3.22743079          0.07824843
          0.30000000          3.28430740          0.08632847
          0.30625000          3.23171891          0.07898041
          0.31250000          3.29009980          0.08704861
          0.31875000          3.26032444          0.07968910
          0.32500000          3.28643449          0.08774494
          0.33125000          3.29628484          0.08037607
          0.33750000          3.27179003          0.08841913
          0.34375000          3.31968360          0.08104272
          0.35000000          3.25960209          0.08907268
          0.35625000          3.33639281          0.08169034
          0.36250000          3.25467360          0.08970693
          0.36875000          3.34256370          0.08232007
          0.37500000          3.27983472          0.09032310
          0.38125000          3.33843084          0.08293296
          0.38750000          3.31378479          0.09092229
          0.39375000          3.33827627          0.08352998
          0.40000000          3.33709279          0.09150552
          0.40625000          3.34359029          0.08411203
          0.41250000          3.35127436          0.09207374
          0.41875000          3.34636890          0.08467999
          0.42500000          3.35777046          0.09262797
          0.43125000          3.34204380          0.08523502
          0.43750000          3.36380612          0.09316959
          0.44375000          3.35282370          0.08577926
          0.45000000          3.38307375          0.09370262
          0.45625000          3.35739065          0.08631992
          0.46250000          3.39674227          0.09423657
          0.46875000          3.35424914          0.08687574
          0.47500000          3.40486104          0.09481119
          0.48125000          3.35218686          0.08751198
          0.48750000          3.40608348          0.09543857
          0.49375000          3.37205878          0.08825514
          0.50000000          3.40058500          0.09674658
          0.50625000          3.39642981          0.08993449
          0.51250000          3.40142210          0.09594366
          0.51875000          3.41469568          0.08912206
          0.52500000          3.41065135          0.09538655
          0.53125000          3.42727674          0.08872392
          0.53750000          3.41715081          0.09531314
          0.54375000          3.43046301          0.08888168
          0.55000000          3.43686275          0.09571401
          0.55625000          3.44113086          0.08943119
          0.56250000          3.41794476          0.09632350
          0.56875000          3.41380555          0.09003039
          0.57500000          3.45557509          0.09684372
          0.58125000          3.42539959          0.09045137
          0.58750000          3.45755790          0.09718617
