                Time     Total_Variation            L2_Error
          0.00000000          2.00000000          0.00000000
          0.00625000          2.00000000          0.05590170
          0.01250000          2.00001953          0.02964635
          0.01875000          2.00004883          0.05639088
          0.02500000          2.00008301          0.03617897
          0.03125000          2.00011963          0.05695362
          0.03750000          2.00015747          0.03918539
          0.04375000          2.00019592          0.05738248
          0.05000000          2.00023468          0.04093319
          0.05625000          2.00027359          0.05770409
          0.06250000          2.00031258          0.04207436
          0.06875000          2.00035160          0.05794924
          0.07500000          2.00039064          0.04287300
          0.08125000          2.00042970          0.05818396
          0.08750000          2.00046875          0.04360375
          0.09375000          2.00050781          0.05842227
          0.10000000          2.00054688          0.04431775
          0.10625000          2.00058594          0.05865947
          0.11250000          2.00062500          0.04500174
          0.11875000          2.00066406          0.05889291
          0.12500000          2.00070313          0.04565120
          0.13125000          2.00074219          0.05912091
          0.13750000          2.00078125          0.04626501
          0.14375000          2.00082031          0.05934234
          0.15000000          2.00085938          0.04684359
          0.15625000          2.00089844          0.05955648
          0.16250000          2.00093750          0.04738810
          0.16875000          2.00097656          0.05976285
          0.17500000          2.00101563          0.04790006
          0.18125000          2.00105469          0.05996115
          0.18750000          2.00109375          0.04838111
          0.19375000          2.00113281          0.06015126
          0.20000000          2.00117188          0.04883295
          0.20625000          2.00121094          0.06033315
          0.21250000          2.00125000          0.04925726
          0.21875000          2.00128906          0.06050686
          0.22500000          2.00132813          0.04965566
          0.23125000          2.00136719          0.06067251
          0.23750000          2.00140625          0.05002971
          0.24375000          2.00144531          0.06083026
          0.25000000          2.00148438          0.05038088
          0.25625000          2.00152344          0.06098033
          0.26250000          2.00156250          0.05071057
          0.26875000          2.00160156          0.06112293
          0.27500000          2.00164063          0.05102012
          0.28125000          2.00167969          0.06125832
          0.28750000          2.00171875          0.05131075
          0.29375000          2.00175781          0.06138675
          0.30000000          2.00179687          0.05158364
          0.30625000          2.00183594          0.06150850
          0.31250000          2.00187500          0.05183989
          0.31875000          2.00191406          0.06162383
          0.32500000          2.00195312          0.05208052
          0.33125000          2.00199219          0.06173303
          0.33750000          2.00203125          0.05230650
          0.34375000          2.00207031          0.06183635
          0.35000000          2.00210937          0.05251874
          0.35625000          2.00214844          0.06193408
          0.36250000          2.00218750          0.05271808
          0.36875000          2.00222656          0.06202646
          0.37500000          2.00226561          0.05290532
          0.38125000          2.00230463          0.06211377
          0.38750000          2.00234359          0.05308121
          0.39375000          2.00238235          0.06219625
          0.40000000          2.00242061          0.05324643
          0.40625000          2.00245750          0.06227415
          0.41250000          2.00249086          0.05340166
          0.41875000          2.00251508          0.06234768
          0.42500000          2.00251598          0.05354749
          0.43125000          2.00245789          0.06241710
          0.43750000          2.00225181          0.05368453
          0.44375000          2.00167695          0.06248262
          0.45000000          2.00018823          0.05381334
          0.45625000          2.00000000          0.06254441
          0.46250000          2.00000000          0.05393435
          0.46875000          2.00000000          0.06260732
          0.47500000          2.00000000          0.05407068
          0.48125000          2.00000000          0.06269721
          0.48750000          2.00000000          0.05440210
          0.49375000          2.00000000          0.06413184
          0.50000000          2.00000000          0.05780474
          0.50625000          2.00000000          0.06828293
          0.51250000          2.00000000          0.05617458
          0.51875000          2.00000000          0.06771312
          0.52500000          2.00000000          0.05601927
          0.53125000          2.00000000          0.06773010
          0.53750000          2.00000000          0.05606689
          0.54375000          2.00000000          0.06773327
          0.55000000          2.00000000          0.05610291
          0.55625000          2.00129543          0.06773606
          0.56250000          2.00224350          0.05613457
          0.56875000          2.00278947          0.06774177
          0.57500000          2.00311943          0.05616442
          0.58125000          2.00332721          0.06774856
          0.58750000          2.00346410          0.05619079
          0.59375000          2.00355954          0.06775929
          0.60000000          2.00363082          0.05621652
          0.60625000          2.00368812          0.06777180
          0.61250000          2.00373742          0.05624191
          0.61875000          2.00378217          0.06778459
          0.62500000          2.00382438          0.05626677
          0.63125000          2.00386516          0.06779696
          0.63750000          2.00390516          0.05629092
          0.64375000          2.00394473          0.06780862
          0.65000000          2.00398406          0.05631423
          0.65625000          2.00402327          0.06781952
          0.66250000          2.00406241          0.05633663
          0.66875000          2.00410152          0.06782964
          0.67500000          2.00414060          0.05635806
          0.68125000          2.00417967          0.06783907
          0.68750000          2.00421874          0.05637850
          0.69375000          2.00425781          0.06784789
          0.70000000          2.00429687          0.05639796
          0.70625000          2.00433594          0.06785617
          0.71250000          2.00437500          0.05641649
          0.71875000          2.00441406          0.06786396
          0.72500000          2.00445312          0.05643410
          0.73125000          2.00449219          0.06787130
          0.73750000          2.00453125          0.05645085
          0.74375000          2.00457031          0.06787821
          0.75000000          2.00460937          0.05646676
          0.75625000          2.00464844          0.06788471
          0.76250000          2.00468750          0.05648186
          0.76875000          2.00472656          0.06789085
          0.77500000          2.00476562          0.05649620
          0.78125000          2.00480469          0.06789662
          0.78750000          2.00484375          0.05650982
          0.79375000          2.00488281          0.06790207
          0.80000000          2.00492187          0.05652274
          0.80625000          2.00496094          0.06790720
          0.81250000          2.00500000          0.05653500
          0.81875000          2.00503906          0.06791203
          0.82500000          2.00507812          0.05654664
          0.83125000          2.00511719          0.06791657
          0.83750000          2.00515625          0.05655769
          0.84375000          2.00519531          0.06792085
          0.85000000          2.00523437          0.05656818
          0.85625000          2.00527344          0.06792488
          0.86250000          2.00531250          0.05657813
          0.86875000          2.00535156          0.06792867
          0.87500000          2.00539063          0.05658757
          0.88125000          2.00542969          0.06793224
          0.88750000          2.00546875          0.05659653
          0.89375000          2.00550781          0.06793561
          0.90000000          2.00554688          0.05660504
          0.90625000          2.00558594          0.06793878
          0.91250000          2.00562500          0.05661311
          0.91875000          2.00566406          0.06794178
          0.92500000          2.00570312          0.05662078
          0.93125000          2.00574219          0.06794461
          0.93750000          2.00578125          0.05662806
          0.94375000          2.00582031          0.06794729
          0.95000000          2.00585938          0.05663498
          0.95625000          2.00589844          0.06794982
          0.96250000          2.00593750          0.05664155
          0.96875000          2.00597656          0.06795223
          0.97500000          2.00601562          0.05664780
          0.98125000          2.00605469          0.06795452
          0.98750000          2.00609375          0.05665374
          0.99375000          2.00613281          0.06795669
          1.00000000          2.00617187          0.05665939
          1.00625000          2.00621094          0.06795876
          1.01250000          2.00625000          0.05666478
