                Time     Total_Variation            L2_Error            L1_Error
          0.00000000          2.00000000          0.00000000          0.00000000
          0.02500000          2.00000000          0.11180340          0.02500000
          0.05000000          2.00000000          0.05929271          0.01875000
          0.07500000          2.00000000          0.11278177          0.02968750
          0.10000000          2.00000000          0.07235794          0.02402344
          0.12500000          2.00000000          0.11390724          0.03217773
          0.15000000          2.00000000          0.07837079          0.02678833
          0.17500000          2.00000000          0.11476496          0.03376617
          0.20000000          2.00000000          0.08186638          0.02853756
          0.22500000          2.00000000          0.11540817          0.03487468
          0.25000000          2.00000000          0.08414871          0.02975133
          0.27500000          2.00000000          0.11589847          0.03569103
          0.30000000          2.00000000          0.08574599          0.03064163
          0.32500000          2.00000000          0.11636790          0.03641782
          0.35000000          2.00000000          0.08720749          0.03144070
          0.37500000          2.00000000          0.11684482          0.03712934
          0.40000000          2.00000000          0.08864019          0.03227728
          0.42500000          2.00000000          0.11733779          0.03803220
          0.45000000          2.00000000          0.09021114          0.03369892
          0.47500000          2.00000000          0.12088816          0.04071327
          0.50000000          2.00000000          0.10026440          0.03694595
          0.52500000          2.00000000          0.13101599          0.04391575
          0.55000000          2.00000000          0.09804624          0.03620500
          0.57500000          2.00000000          0.11219681          0.03887006
          0.60000000          2.00000000          0.09842543          0.03623096
          0.62500000          2.00000000          0.11259564          0.03907936
          0.65000000          2.00000000          0.09896583          0.03651592
          0.67500000          2.00000000          0.11293746          0.03937034
          0.70000000          2.00000000          0.09949890          0.03682433
          0.72500000          2.00000000          0.11324114          0.03965391
          0.75000000          2.00000000          0.10001598          0.03712085
          0.77500000          2.00000000          0.11352373          0.03992038
          0.80000000          2.00000000          0.10051252          0.03740064
          0.82500000          2.00000000          0.11379018          0.04016960
          0.85000000          1.99999999          0.10098567          0.03766334
          0.87500000          1.99999999          0.11404201          0.04040241
          0.90000000          1.99999999          0.10143404          0.03790944
          0.92500000          1.99999999          0.11427983          0.04061975
          0.95000000          1.99999999          0.10185734          0.03813965
          0.97500000          1.99999998          0.11449775          0.04082253
          1.00000000          1.99999998          0.10225998          0.03835647
          1.02500000          1.99999998          0.11469942          0.04101277
