                   x         u_numerical        u_analytical
         -0.99375000          0.06237303          0.00000000
         -0.98125000          0.06224098          0.00000000
         -0.96875000          0.06208019          0.00000000
         -0.95625000          0.06191812          0.00000000
         -0.94375000          0.06175797          0.00000000
         -0.93125000          0.06159958          0.00000000
         -0.91875000          0.06144247          0.00000000
         -0.90625000          0.06128623          0.00000000
         -0.89375000          0.06113058          0.00000000
         -0.88125000          0.06097535          0.00000000
         -0.86875000          0.06082048          0.00000000
         -0.85625000          0.06066594          0.00000000
         -0.84375000          0.06051156          0.00000000
         -0.83125000          0.06035679          0.00000000
         -0.81875000          0.06020047          0.00000000
         -0.80625000          0.06004058          0.00000000
         -0.79375000          0.05987435          0.00000000
         -0.78125000          0.05969932          0.00000000
         -0.76875000          0.05951617          0.00000000
         -0.75625000          0.05933244          0.00000000
         -0.74375000          0.05916225          0.00000000
         -0.73125000          0.05901736          0.00000000
         -0.71875000          0.05889837          0.00000000
         -0.70625000          0.05879950          0.00000000
         -0.69375000          0.05872423          0.00000000
         -0.68125000          0.05868684          0.00000000
         -0.66875000          0.05868098          0.00000000
         -0.65625000          0.05869127          0.00000000
         -0.64375000          0.05877413          0.00000000
         -0.63125000          0.05909884          0.00000000
         -0.61875000          0.06004139          0.00000000
         -0.60625000          0.06231091          0.00000000
         -0.59375000          0.06707474          0.00000000
         -0.58125000          0.07609843          0.00000000
         -0.56875000          0.09191624          0.00000000
         -0.55625000          0.11793736          0.00000000
         -0.54375000          0.15823861          0.00000000
         -0.53125000          0.21674864          0.00000000
         -0.51875000          0.29573673          0.00000000
         -0.50625000          0.39402598          0.00000000
         -0.49375000          0.50592776          1.00000000
         -0.48125000          0.62195397          1.00000000
         -0.46875000          0.73143607          1.00000000
         -0.45625000          0.82577657          1.00000000
         -0.44375000          0.90054152          1.00000000
         -0.43125000          0.95554941          1.00000000
         -0.41875000          0.99350166          1.00000000
         -0.40625000          1.01827915          1.00000000
         -0.39375000          1.03368828          1.00000000
         -0.38125000          1.04284678          1.00000000
         -0.36875000          1.04804492          1.00000000
         -0.35625000          1.05084710          1.00000000
         -0.34375000          1.05226613          1.00000000
         -0.33125000          1.05292805          1.00000000
         -0.31875000          1.05320204          1.00000000
         -0.30625000          1.05329490          1.00000000
         -0.29375000          1.05331570          1.00000000
         -0.28125000          1.05331656          1.00000000
         -0.26875000          1.05330369          1.00000000
         -0.25625000          1.05325097          1.00000000
         -0.24375000          1.05313961          1.00000000
         -0.23125000          1.05297756          1.00000000
         -0.21875000          1.05278960          1.00000000
         -0.20625000          1.05259709          1.00000000
