                Time     Total_Variation            L2_Error            L1_Error
          0.00000000          2.00000000          0.00000000          0.00000000
          0.00625000          2.00000000          0.05590170          0.00625000
          0.01250000          2.00000000          0.02964635          0.00468750
          0.01875000          2.00000000          0.05664106          0.00769231
          0.02500000          2.00000000          0.03745141          0.00631010
          0.03125000          2.00000000          0.05773209          0.00863518
          0.03750000          2.00000000          0.04176651          0.00735740
          0.04375000          2.00000000          0.05876762          0.00935501
          0.05000000          2.00000000          0.04472366          0.00814953
          0.05625000          2.00000000          0.05970518          0.00994544
          0.06250000          2.00000000          0.04696984          0.00879464
          0.06875000          2.00000000          0.06055149          0.01045024
          0.07500000          2.00000000          0.04878124          0.00934308
          0.08125000          2.00000000          0.06131995          0.01089368
          0.08750000          2.00000000          0.05030003          0.00982264
          0.09375000          2.00000000          0.06202293          0.01129073
          0.10000000          2.00000000          0.05160865          0.01025035
          0.10625000          2.00000000          0.06267066          0.01165130
          0.11250000          2.00000000          0.05275906          0.01063748
          0.11875000          2.00000000          0.06327137          0.01198236
          0.12500000          2.00000000          0.05378608          0.01099190
          0.13125000          2.00000000          0.06383165          0.01228898
          0.13750000          2.00000000          0.05471415          0.01131932
          0.14375000          2.00000000          0.06435686          0.01257498
          0.15000000          2.00000000          0.05556112          0.01162404
          0.15625000          2.00000000          0.06485134          0.01284333
          0.16250000          2.00000000          0.05634036          0.01190937
          0.16875000          2.00000000          0.06531870          0.01309638
          0.17500000          2.00000000          0.05706220          0.01217793
          0.18125000          2.00000000          0.06576195          0.01333600
          0.18750000          2.00000000          0.05773476          0.01243182
          0.19375000          2.00000000          0.06618360          0.01356376
          0.20000000          2.00000000          0.05836454          0.01267277
          0.20625000          2.00000000          0.06658580          0.01378093
          0.21250000          2.00000000          0.05895682          0.01290219
          0.21875000          2.00000000          0.06697039          0.01398859
          0.22500000          2.00000000          0.05951597          0.01312129
          0.23125000          2.00000000          0.06733896          0.01418767
          0.23750000          2.00000000          0.06004561          0.01333106
          0.24375000          2.00000000          0.06769288          0.01437893
          0.25000000          2.00000000          0.06054883          0.01353239
          0.25625000          2.00000000          0.06803335          0.01456307
          0.26250000          2.00000000          0.06102821          0.01372600
          0.26875000          2.00000000          0.06836143          0.01474066
          0.27500000          2.00000000          0.06148600          0.01391255
          0.28125000          2.00000000          0.06867806          0.01491223
          0.28750000          2.00000000          0.06192413          0.01409261
          0.29375000          2.00000000          0.06898407          0.01507824
          0.30000000          2.00000000          0.06234429          0.01426667
          0.30625000          2.00000000          0.06928021          0.01523908
          0.31250000          2.00000000          0.06274794          0.01443517
          0.31875000          2.00000000          0.06956713          0.01539511
          0.32500000          2.00000000          0.06313640          0.01459851
          0.33125000          2.00000000          0.06984544          0.01554666
          0.33750000          2.00000000          0.06351079          0.01475704
          0.34375000          2.00000000          0.07011568          0.01569401
          0.35000000          2.00000000          0.06387216          0.01491107
          0.35625000          2.00000000          0.07037834          0.01583743
